symbol,status,parquet,reasons
APOS,FAIL,raw/Stock_parquet/APOS_1H.parquet,turnover_per_day too high: 3.48663706585804 > 1.0
APO_A,FAIL,raw/Stock_parquet/APO_A_1H.parquet,avg_net_trade_return too low: 7.922531674037187e-05 < 8e-05;turnover_per_day too high: 1.0716966148153302 > 1.0
APPF,PASS,raw/Stock_parquet/APPF_1H.parquet,
APXTU,FAIL,raw/Stock_parquet/APXTU_1H.parquet,
AQNB,FAIL,raw/Stock_parquet/AQNB_1H.parquet,net_to_gross too low: 0.5865435497622328 < 0.6;avg_net_trade_return too low: 6.188309951285118e-05 < 8e-05;turnover_per_day too high: 1.7015462395671883 > 1.0
ARCC,FAIL,raw/Stock_parquet/ARCC_1H.parquet,turnover_per_day too high: 1.2062517955275758 > 1.0
ARDC,FAIL,raw/Stock_parquet/ARDC_1H.parquet,turnover_per_day too high: 1.9972606710959118 > 1.0
ARDT,PASS,raw/Stock_parquet/ARDT_1H.parquet,
ARES,FAIL,raw/Stock_parquet/ARES_1H.parquet,turnover_per_day too high: 1.241354368873255 > 1.0
ARGO_A,FAIL,raw/Stock_parquet/ARGO_A_1H.parquet,sharpe too low: -1.0203530175480335 < 0.7;sortino too low: -0.7737145432620378 < 1.0;profit_factor too low: 0.9244086047987783 < 1.1;net_to_gross too low: -1.402861591219028 < 0.6;avg_net_trade_return too low: -2.9866967334421727e-05 < 8e-05;turnover_per_day too high: 2.403806557430281 > 1.0;cost_stress_failed sharpe=-2.7609234733837202
ARGX,FAIL,raw/Stock_parquet/ARGX_1H.parquet,avg_net_trade_return too low: 6.856728959826129e-05 < 8e-05
ARM,FAIL,raw/Stock_parquet/ARM_1H.parquet,avg_net_trade_return too low: 5.9602550888317646e-05 < 8e-05;turnover_per_day too high: 1.0366302591651027 > 1.0
ARMH,PASS,raw/Stock_parquet/ARMH_1H.parquet,
ARMN,FAIL,raw/Stock_parquet/ARMN_1H.parquet,sortino too low: 0.6031048970821997 < 1.0;profit_factor too low: 1.0620548829027763 < 1.1;net_to_gross too low: 0.40572331241014137 < 0.6;avg_net_trade_return too low: 2.1916899787980735e-05 < 8e-05;cost_stress_failed sharpe=-0.33774685540993626
AROW,PASS,raw/Stock_parquet/AROW_1H.parquet,
ARTNA,PASS,raw/Stock_parquet/ARTNA_1H.parquet,
AS,PASS,raw/Stock_parquet/AS_1H.parquet,
ASBA,FAIL,raw/Stock_parquet/ASBA_1H.parquet,turnover_per_day too high: 1.289442164713902 > 1.0
ASB_E,FAIL,raw/Stock_parquet/ASB_E_1H.parquet,net_to_gross too low: 0.47379497098907325 < 0.6;avg_net_trade_return too low: 5.011467310090717e-05 < 8e-05;turnover_per_day too high: 2.3912452367074057 > 1.0;cost_stress_failed sharpe=-0.18579729645280493
ASB_F,FAIL,raw/Stock_parquet/ASB_F_1H.parquet,net_to_gross too low: 0.43089411051943793 < 0.6;avg_net_trade_return too low: 4.228256598538158e-05 < 8e-05;turnover_per_day too high: 2.6645306836455775 > 1.0;cost_stress_failed sharpe=-0.5165187123329563
ASGI,FAIL,raw/Stock_parquet/ASGI_1H.parquet,turnover_per_day too high: 1.7015487336455157 > 1.0
ASO,PASS,raw/Stock_parquet/ASO_1H.parquet,
ASX,FAIL,raw/Indices_parquet/ASX_full_1hour.parquet,sortino too low: 0.6458274850431591 < 1.0;profit_factor too low: 1.093731328275218 < 1.1;net_to_gross too low: 0.3629581758418621 < 0.6;avg_net_trade_return too low: 3.067884277355717e-05 < 8e-05;turnover_per_day too high: 2.59288591680132 > 1.0;cost_stress_failed sharpe=-0.7698233696708482
ATAT,PASS,raw/Stock_parquet/ATAT_1H.parquet,
ATCOL,FAIL,raw/Stock_parquet/ATCOL_1H.parquet,turnover_per_day too high: 1.7096234366007623 > 1.0
ATHS,FAIL,raw/Stock_parquet/ATHS_1H.parquet,net_to_gross too low: 0.4864647616909218 < 0.6;avg_net_trade_return too low: 7.932564842787214e-05 < 8e-05;turnover_per_day too high: 4.413176001676285 > 1.0;cost_stress_failed sharpe=-0.16414776746852344
ATH_A,PASS,raw/Stock_parquet/ATH_A_1H.parquet,
ATH_B,FAIL,raw/Stock_parquet/ATH_B_1H.parquet,turnover_per_day too high: 2.000889979100787 > 1.0
ATH_C,FAIL,raw/Stock_parquet/ATH_C_1H.parquet,net_to_gross too low: 0.5146210197698666 < 0.6;avg_net_trade_return too low: 6.53051689329552e-05 < 8e-05;turnover_per_day too high: 3.079838306121708 > 1.0;cost_stress_failed sharpe=0.11188803403453355
ATH_D,FAIL,raw/Stock_parquet/ATH_D_1H.parquet,turnover_per_day too high: 2.5424382129517133 > 1.0
ATH_E,FAIL,raw/Stock_parquet/ATH_E_1H.parquet,sharpe too low: 0.3346435679604326 < 0.7;sortino too low: 0.2884585368876748 < 1.0;profit_factor too low: 1.0291983391680692 < 1.1;net_to_gross too low: 0.1310224614001383 < 0.6;avg_net_trade_return too low: 8.829372127395308e-06 < 8e-05;turnover_per_day too high: 2.7998076366199633 > 1.0;cost_stress_failed sharpe=-1.8773954085798719
ATLCL,PASS,raw/Stock_parquet/ATLCL_1H.parquet,
ATLCP,FAIL,raw/Stock_parquet/ATLCP_1H.parquet,turnover_per_day too high: 1.9862998492114494 > 1.0
ATLCZ,FAIL,raw/Stock_parquet/ATLCZ_1H.parquet,net_to_gross too low: 0.5630978907827852 < 0.6;turnover_per_day too high: 6.767995990681827 > 1.0
ATMC,PASS,raw/Stock_parquet/ATMC_1H.parquet,
ATMCR,PASS,raw/Stock_parquet/ATMCR_1H.parquet,
ATMU,FAIL,raw/Stock_parquet/ATMU_1H.parquet,avg_net_trade_return too low: 7.316867706918421e-05 < 8e-05;turnover_per_day too high: 1.3777082472143765 > 1.0
ATO,FAIL,raw/Stock_parquet/ATO_1H.parquet,avg_net_trade_return too low: 5.4216648230923086e-05 < 8e-05
ATR,PASS,raw/Stock_parquet/ATR_1H.parquet,
ATS,FAIL,raw/Stock_parquet/ATS_1H.parquet,turnover_per_day too high: 1.1927970355628534 > 1.0
AUB,FAIL,raw/Stock_parquet/AUB_1H.parquet,turnover_per_day too high: 1.38363766458267 > 1.0
AUB_A,PASS,raw/Stock_parquet/AUB_A_1H.parquet,
AUDBRL,FAIL,raw/FX_parquet/AUDBRL_1H.parquet,data_load_failed: fx_g1:invalid_1h_data: median_spacing=86400.0 p90_spacing=172800.0
AUDCAD,FAIL,raw/FX_parquet/AUDCAD_1H.parquet,data_load_failed: fx_g1:invalid_1h_data: median_spacing=86400.0 p90_spacing=172800.0
AUDCHF,FAIL,raw/FX_parquet/AUDCHF_1H.parquet,data_load_failed: fx_g1:invalid_1h_data: median_spacing=86400.0 p90_spacing=172800.0
AUDCNH,FAIL,raw/FX_parquet/AUDCNH_1H.parquet,data_load_failed: fx_g1:invalid_1h_data: median_spacing=86400.0 p90_spacing=172800.0
AUDHUF,FAIL,raw/FX_parquet/AUDHUF_1H.parquet,data_load_failed: fx_g1:invalid_1h_data: median_spacing=86400.0 p90_spacing=172800.0
AUDILS,FAIL,raw/FX_parquet/AUDILS_1H.parquet,data_load_failed: fx_g1:invalid_1h_data: median_spacing=86400.0 p90_spacing=172800.0
AUDINR,FAIL,raw/FX_parquet/AUDINR_1H.parquet,data_load_failed: fx_g1:invalid_1h_data: median_spacing=86400.0 p90_spacing=172800.0
AUDJPY,FAIL,raw/FX_parquet/AUDJPY_1H.parquet,data_load_failed: fx_g1:invalid_1h_data: median_spacing=86400.0 p90_spacing=172800.0
AUDMXN,FAIL,raw/FX_parquet/AUDMXN_1H.parquet,data_load_failed: fx_g1:invalid_1h_data: median_spacing=86400.0 p90_spacing=172800.0
AUDNZD,FAIL,raw/FX_parquet/AUDNZD_1H.parquet,data_load_failed: fx_g1:invalid_1h_data: median_spacing=86400.0 p90_spacing=172800.0
AUDSGD,FAIL,raw/FX_parquet/AUDSGD_1H.parquet,data_load_failed: fx_g1:invalid_1h_data: median_spacing=86400.0 p90_spacing=172800.0
AUDTHB,FAIL,raw/FX_parquet/AUDTHB_1H.parquet,data_load_failed: fx_g1:invalid_1h_data: median_spacing=86400.0 p90_spacing=172800.0
AUDTRY,FAIL,raw/FX_parquet/AUDTRY_1H.parquet,data_load_failed: fx_g1:invalid_1h_data: median_spacing=86400.0 p90_spacing=172800.0
AUDUSD,FAIL,raw/FX_parquet/AUDUSD_1H.parquet,data_load_failed: fx_g1:invalid_1h_data: median_spacing=86400.0 p90_spacing=172800.0
AUDZAR,FAIL,raw/FX_parquet/AUDZAR_1H.parquet,data_load_failed: fx_g1:invalid_1h_data: median_spacing=86400.0 p90_spacing=172800.0
AUNA,FAIL,raw/Stock_parquet/AUNA_1H.parquet,sortino too low: 0.9839086892015454 < 1.0;avg_net_trade_return too low: 4.45846058907322e-05 < 8e-05
AVBH,FAIL,raw/Stock_parquet/AVBH_1H.parquet,turnover_per_day too high: 1.1805621568449371 > 1.0
AVBP,FAIL,raw/Stock_parquet/AVBP_1H.parquet,sortino too low: 0.984162410517124 < 1.0;avg_net_trade_return too low: 6.927874876216276e-05 < 8e-05
AVGO,FAIL,raw/Stock_parquet/AVGO_1H.parquet,turnover_per_day too high: 1.9830055163499183 > 1.0
AVIV,FAIL,raw/Stock_parquet/AVIV_1H.parquet,turnover_per_day too high: 1.214062021988899 > 1.0
AWF,FAIL,raw/Stock_parquet/AWF_1H.parquet,avg_net_trade_return too low: 6.853187322255138e-05 < 8e-05;turnover_per_day too high: 1.548473083820395 > 1.0
AWK,PASS,raw/Stock_parquet/AWK_1H.parquet,
AWR,FAIL,raw/Stock_parquet/AWR_1H.parquet,turnover_per_day too high: 1.0353954599766788 > 1.0
AXS,FAIL,raw/Stock_parquet/AXS_1H.parquet,sharpe too low: -0.6742031224231334 < 0.7;sortino too low: -0.415865188694869 < 1.0;profit_factor too low: 0.9370290240671398 < 1.1;net_to_gross too low: -1.8897259663996175 < 0.6;avg_net_trade_return too low: -2.2853102536964487e-05 < 8e-05;turnover_per_day too high: 1.2887882245339555 > 1.0;cost_stress_failed sharpe=-1.700507575601383
AXS_E,FAIL,raw/Stock_parquet/AXS_E_1H.parquet,net_to_gross too low: 0.46632640540838083 < 0.6;avg_net_trade_return too low: 7.408359991117411e-05 < 8e-05;turnover_per_day too high: 4.5934045491450775 > 1.0;cost_stress_failed sharpe=-0.35463946741119184
AZN,PASS,raw/Stock_parquet/AZN_1H.parquet,
AZO,FAIL,raw/Stock_parquet/AZO_1H.parquet,net_to_gross too low: 0.5934103198276454 < 0.6;avg_net_trade_return too low: 4.614499786085011e-05 < 8e-05;turnover_per_day too high: 1.013805174316375 > 1.0;cost_stress_failed sharpe=0.477978789932638
BXM,FAIL,raw/Indices_parquet/BXM_full_1hour.parquet,avg_net_trade_return too low: 5.465326604090857e-05 < 8e-05
BXN,FAIL,raw/Indices_parquet/BXN_full_1hour.parquet,turnover_per_day too high: 1.1170933000607524 > 1.0
CADJPY,FAIL,raw/FX_parquet/CADJPY_1H.parquet,data_load_failed: fx_g1:invalid_1h_data: median_spacing=86400.0 p90_spacing=172800.0
CHFJPY,FAIL,raw/FX_parquet/CHFJPY_1H.parquet,data_load_failed: fx_g1:invalid_1h_data: median_spacing=86400.0 p90_spacing=172800.0
CLL,FAIL,raw/Indices_parquet/CLL_full_1hour.parquet,sortino too low: 0.7034242579669284 < 1.0;profit_factor too low: 1.076141776134887 < 1.1;net_to_gross too low: 0.24148134416639042 < 0.6;avg_net_trade_return too low: 2.5956753752078064e-05 < 8e-05;turnover_per_day too high: 4.550161258905899 > 1.0;cost_stress_failed sharpe=-1.8261102965471019
CXU,FAIL,raw/Indices_parquet/CXU_full_1hour.parquet,tail_kill_switch: cvar_95_over_daily_vol 4.211147682319659 > 2.5;sharpe too low: 0.25101518518803007 < 0.7;sortino too low: 0.19490709642407447 < 0.9;avg_net_trade_return too low: 0.000196064249770129 < 0.0003;cost_stress_failed sharpe=0.14431180814979358
DJCIAGC,FAIL,raw/Indices_parquet/DJCIAGC_full_1hour.parquet,net_to_gross too low: 0.5815449812866167 < 0.6;turnover_per_day too high: 5.535596762429455 > 1.0
